Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
1549,MURRURNF,MURFREESBORO PIKE & RURAL HILL RD N,False,False,15,MURFREESBORO PIKE,36.075134,-86.639012,37217
888,FLASLANN,FLAMINGO DR & SLAYDEN DR NB,False,False,30,McFERRIN,,,
3286,MONCRONN,MONTGOMERY AVE & CROCKETT ST NB,False,False,30,McFERRIN,36.195713,-86.755567,37207
2723,2AVCHUNN,2ND AVE N & CHURCH ST NB,False,False,"15,25,27,33,34,36,37,38,44,52,55,84,86,96",LEBANON PIKE,36.164545,-86.776836,37201
5051,28APARNN,28TH AVE & PARK PLZ NB,True,False,21,UNIVERSITY CONNECTOR,36.149914,-86.817829,37236
4916,HER16AWN,HERMAN ST & 16TH AVE N WB,False,False,19,HERMAN,36.165526,-86.800157,37208
3173,SPR1SWN,SPRING ST & N 1ST ST WB,False,True,28,MERIDIAN,36.17701,-86.774366,37201
1502,MURREEWF,MURFREESBORO PIKE & REEDWOOD DR,False,True,15,MURFREESBORO PIKE,36.104936,-86.669667,37214
3777,APAPACNN,APACHE TRL & PACKARD DR NB,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.065058,-86.685745,37013
487,BRO9AWF,BROADWAY AVE & 9TH AVE S WB,False,True,"3,35,7,93",WEST END - WHITE BRIDGE,36.158366,-86.783544,37203
553,CXI2831,28TH/31ST AVE CONNECTOR STATION INBOUND,True,False,"10,50",CHARLOTTE,36.15387,-86.818414,37209
3240,SCOMCGNN,SCOTT AVE & MCGAVOCK PIKE NB,False,False,20,SCOTT,36.20442,-86.73213,37216
1820,ROSCREWN,ROSEBANK AVE & CRESENT HILL RD WB,False,False,4,SHELBY,36.186861,-86.724183,37206
5162,21AHERSN,21ST AVE & HERMOSA ST SB,False,False,19,HERMAN,36.163721,-86.80848,37208
387,BELCANWF,BELL RD & CANE RIDGE DR WB,False,False,33,HICKORY HOLLOW-LENOX EXPRESS,36.044893,-86.662405,37013
1539,MURPINWF,MURFREESBORO PIKE & PINEWAY DR WB,False,False,15,MURFREESBORO PIKE,36.11544,-86.694755,37217
592,CXOAMERI,AMERICAN STATION OUTBOUND,False,False,"10,50",CHARLOTTE,36.145052,-86.872141,37209
1339,LEBSTOWM,LEBANON PIKE & STONES RIVER RD WB,False,True,6,LEBANON PIKE,36.185434,-86.636695,37138
2029,WESELMWF,WEST END AVE & ELMINGTON AVE WB,False,False,"3,5",WEST END - WHITE BRIDGE,36.135304,-86.823686,37205
5124,ROSCREEF,ROSEBANK AVE & CRESCENT HILL RD EB,False,False,4,SHELBY,36.186773,-86.724321,37206
2648,UNI7AEN,UNION ST & 7TH AVE N EB,False,False,35,RIVERGATE EXPRESS,36.163277,-86.783903,37219
2094,WOO11SWN,WOODLAND ST & S 11TH ST WB,False,False,20,SCOTT,36.177293,-86.750254,37206
2784,ELIHYDSN,ELIZABETH RD & HYDES FERRY RD SB,False,False,22,BORDEAUX,36.193328,-86.840202,37218
106,1AVDEMNN,1ST AVE S & DEMONBREUN ST NB,False,False,"25,27,36,44",LEBANON PIKE,36.160067,-86.772871,37201
5225,CHIJONWN,CHICKASAW AVE & JONES AVE WB,False,False,30,McFERRIN,36.201098,-86.758248,37207
61,12AWESNN,12TH AVE S & WEST GROVE AVE NB,False,False,17,12TH AVENUE SOUTH,36.134748,-86.788904,37203
4482,EDMBLAWF,EDMONDSON PK & BLACKMAN RD WB,False,False,72,GRASSMERE-EDMONDSON CONNECTOR,36.072026,-86.733038,37211
4756,GRYDWTNF,GRAYCROFT AVE & DUE WEST AVE NB,False,False,36,MADISON EXPRESS,,,
123,BRODIVSM,BROADWAY AVE & DIVISION ST SB,False,True,"25,35,7",HILLSBORO,36.148549,-86.799131,37203
2486,BARDAREN,BART DR & DARLENE DR EB,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.057323,-86.694515,37013
5264,MXIMCCTR,CONVENTION CENTER STATION INBOUND,False,False,"15,33,34,37,38,52,55,84,86,96",NOLENSVILLE PK BRT LITE,36.160899,-86.77444,37201
2719,LAF2ANNN,LAFAYETTE ST & 2ND AVE S SB,False,False,15,MURFREESBORO PIKE,,,
5394,THOBRAWM,THOMPSON LN & BRANSFORD DR WB,False,False,77,THOMPSON CONNECTOR,36.112227,-86.764816,37204
1272,LAFLEWWN,LAFAYETTE ST & LEWIS ST WB,False,False,"15,18",MURFREESBORO PIKE,36.147536,-86.758344,37210
4729,DUPARCEN,N DUPONT AVE & ARCHWOOD DR EB,False,False,76,MADISON CONNECTOR,36.266161,-86.686945,37115
1185,HWYHICWN,HWY 70 S & HICKS RD WB,False,True,"24,5",WEST END - BELLEVUE,36.073996,-86.925957,37221
4330,KINCLAW,KINGS LN & CLARKSVILLE PK WB,False,False,22,BORDEAUX,36.218661,-86.83646,37218
4902,SR4DELEN,SR 45 & DELAWARE AVE EB,False,False,36,MADISON EXPRESS,36.263674,-86.705155,37115
976,GALMAXSN,GALLATIN AVE & MAXWELL AVE SB,False,True,26,GALLATIN PIKE,36.182477,-86.749109,37206
2757,NHYMANEN,N HYDES FERRY RD & MANCHESTER AVE EB,False,False,22,BORDEAUX,36.193892,-86.83568,37218
1063,HARDANWN,HARDING PL & DANBY DR WB,False,False,72,GRASSMERE-EDMONDSON CONNECTOR,36.07863,-86.745025,37211
1397,MAIFINEM,MAIN ST & MCFERRIN AVE EB,False,False,26,GALLATIN PIKE,36.177108,-86.754117,37206
4565,GXOEHILN,EAST HILL STATION OUTBOUND,True,False,"26,56",GALLATIN PIKE,36.203226,-86.738674,37216
2056,WHICORSF,WHITE BRIDGE PIKE & CORBETT LN SB,False,False,3,WEST END - WHITE BRIDGE,36.143101,-86.8578,37209
3924,PICBISWM,PICCADILLY ROW & BISHOPGATE RD WB,False,False,38,ANTIOCH EXPRESS,36.078591,-86.659934,37013
3938,BELHARNN,BELL RD & HARBOR LIGHTS DR NB,False,False,38,ANTIOCH EXPRESS,36.093746,-86.624787,37217
56,12ASUMSF,12TH AVE S & SUMMIT AVE SB,False,False,17,12TH AVENUE SOUTH,36.138427,-86.787895,37203
1859,SCOSTRSN,SCOTT AVE & STRAIGHTWAY AVE SB,False,False,20,SCOTT,36.192634,-86.733226,37206
4310,SHA14SWN,SHARPE AVE & N 14TH S WB,False,False,20,SCOTT,36.18837,-86.742644,37206
790,DICRICSN,DICKERSON PIKE & RICHARDSON AVE SB,False,False,"23,43",DICKERSON ROAD,36.19201,-86.772771,37207
2697,NXOMORTN,MORTON STATION OUTBOUND,False,False,52,NOLENSVILLE PK BRT LITE,36.106507,-86.743024,37211
769,DICGRASN,N DICKERSON PIKE & GRACE ST SB,False,True,"14,23,43",WHITES CREEK,36.183867,-86.773861,37207
2654,THOCATEN,THOMPSON PL & CATINA DR EB,False,False,77,THOMPSON CONNECTOR,36.127213,-86.704016,37217
3119,32ABATNN,32ND AVE N & BATAVIA ST NB,False,False,19,HERMAN,36.160458,-86.824014,37209
3065,HER12AWN,HERMAN ST & 12TH AVE N WB,False,False,19,HERMAN,36.167232,-86.796321,37208
622,CHAWESWN,CHARLOTTE PIKE & WESTBORO DR WB,False,False,10,CHARLOTTE,36.146209,-86.870704,37209
4639,HAMFORWN,HAMILTON AVE & FORTNEGLY BLVD WB,False,False,1,100 OAKS,36.139204,-86.774932,37203
4985,DBTBUCNN,DR DB TODD BLVD & BUCHANAN ST NB,False,False,21,UNIVERSITY CONNECTOR,36.180007,-86.810953,37208
297,8AVERSN,8TH AVE S & VERNON SB,False,False,8,8TH AVENUE SOUTH,36.140829,-86.778706,37203
5283,18ASTASN,18TH AVE & STATE ST SB,False,False,10,CHARLOTTE,36.156061,-86.798348,37203
1897,SHEDUGWF,SHERIDAN RD & DUGGER DR WB,False,False,4,SHELBY,36.192561,-86.712467,37206
173,2ASTOSM,2ND AVE N & STOCKYARD ST SB,True,False,"28,9",METROCENTER,36.171769,-86.781367,37201
2298,NASBELWF,NASHBORO BLVD & BELL RD WB,False,False,38,ANTIOCH EXPRESS,36.089707,-86.629424,37013
2321,RICDEBEN,RICHARDS RD & DEBRA DR EB,False,False,38,ANTIOCH EXPRESS,36.067477,-86.665184,37013
3978,BRIFERSN,BRICK CHURCH PIKE & FERN AVE SB,False,False,41,GOLDEN VALLEY,36.19585,-86.776754,37207
774,DICLIGSF,DICKERSON PIKE & LIGON AVE SB,False,True,"23,43",DICKERSON ROAD,36.194193,-86.772489,37203
5156,DICALHNN,DICKERSON PIKE & ALHAMBRA CIR NB,False,False,"23,43",DICKERSON ROAD,36.219376,-86.762294,37207
205,40APRESF,40TH AVE N & PRESTON TAYLOR PL SB,False,False,19,HERMAN,36.159882,-86.835354,37209
3941,BELPSTNN,BELL RD & PRIEST WOODS DR NB,False,False,38,ANTIOCH EXPRESS,36.127327,-86.629488,37217
5098,H70FOREM,HWY 70 & FOREST PARK APARTMENTS EB,False,False,5,WEST END - BELLEVUE,36.077468,-86.91188,37221
858,ELMROYWN,ELM HILL PIKE & ROYAL PKWY WB,False,False,18,AIRPORT - DOWNTOWN HOTELS,36.151738,-86.676829,37214
4166,GALMKESN,GALLATIN PIKE & MCKENNIE AVE SB,False,True,26,GALLATIN PIKE,36.191768,-86.744957,37206
1281,LEBANDWF,LEBANON PIKE & ANDREW JACKSON PKWY,False,True,6,LEBANON PIKE,36.215271,-86.598612,37076
3882,BELPRISF,BELL RD & PRIEST WOODS DR SB,False,False,38,ANTIOCH EXPRESS,36.127254,-86.629671,37217
737,DICBELNN,DICKERSON PIKE & BELLSHIRE PIKE NB,False,False,43,HICKORY HILLS,36.259117,-86.757745,37207
265,8ABROSN,8TH AVE S & BROADWAY AVE SB,True,False,"1,2,3,5,7,8,84,86,96",100 OAKS,36.159008,-86.782225,37203
